company_size,product_category,product_subcategory,NAICS,NAICS_description,reformulation_activity,cost_type,5th Percentile,Mean,95th Percentile
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Per Formula Costs,26604,57336,104933
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Total Costs,6470893.5,13754430,24948924
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Per Formula Costs,64387,136860,248248
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Total Costs,9285166.86,19819070.34,36048774.47
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,7. Production scale-up testing,Per Formula Costs,43038.68944099378,91865.53416149068,167093.6055900621
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Total Costs,2221.05,5115.450000000001,9718.35
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Per Formula Costs,221,509.00000000000006,967
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Total Costs,2239389.91,4824960.11,8828701.89
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Per Formula Costs,21289,45869,83931
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Total Costs,5632824,12243312,22399239
Large Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Per Formula Costs,56048,121824,222878
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Total Costs,7874434.960000001,17073387.560000002,31237659.240000002
Total,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,8. Recordkeeping,Per Formula Costs,36499.65217391305,79138.72049689441,144793.0807453416
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Total Costs,0,0,0
Small Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Per Formula Costs,0,0,0
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Total Costs,0,0,0
Medium Companies,Entrees,Combination lunches,311911,Roasted Nuts & Peanut Butter Manufacturing,Analytical tests,Per Formula Costs,0,0,0
